logged_date,cycle_id,fasting
2022-10-17,15804,1.0
2022-11-27,15804,0.0
2022-11-28,15804,0.0
2022-11-29,15804,0.0
2022-12-01,15804,1.0
2021-05-20,16250,1.0
2022-08-16,15487,0.0
2022-03-28,15106,1.0
2022-04-10,15106,1.0
2022-04-18,15106,1.0
2022-04-17,15106,1.0
2022-04-16,15106,1.0
2022-04-15,15106,1.0
2022-04-14,15106,1.0
2022-04-13,15106,1.0
2022-04-12,15106,1.0
2022-09-10,20666,1.0
2022-09-19,20666,0.0
2022-09-20,20666,0.0
2022-09-21,20666,0.0
2022-09-22,20666,0.0
2022-09-23,20666,0.0
2022-09-24,20666,0.0
2022-09-25,20666,0.0
2022-10-05,20666,0.0
2022-10-04,20666,0.0
2022-10-22,20666,0.0
2022-10-23,20666,0.0
2023-03-01,12705,1.0
2023-03-02,12705,1.0
2021-11-16,17717,1.0
2022-10-19,19316,0.0
2022-10-22,19316,0.0
2022-10-24,19316,0.0
2022-10-26,19316,0.0
2022-11-11,17726,0.0
2022-11-11,17726,0.0
2022-11-12,17726,0.0
2022-11-12,17726,0.0
2022-11-13,17726,0.0
2022-11-27,17726,0.0
2022-11-26,17726,0.0
2022-11-29,17726,0.0
2022-12-03,17726,0.0
2022-12-06,17726,1.0
2022-12-07,17726,0.0
2022-12-10,17726,0.0
2022-12-11,17726,0.0
2022-12-09,17726,0.0
2022-12-19,17726,1.0
2022-12-21,17726,0.0
2022-12-23,17726,0.0
2022-12-24,17726,0.0
2022-12-31,17726,1.0
2023-01-02,17726,1.0
2023-01-01,17726,1.0
2023-01-05,17726,1.0
2023-01-07,17726,1.0
2022-11-18,18427,0.0
2023-03-13,17742,0.0
2023-03-14,17742,0.0
2023-03-15,17742,0.0
2023-03-16,17742,0.0
2023-03-17,17742,0.0
2023-03-18,17742,0.0
2023-03-19,17742,0.0
2023-03-20,17742,0.0
2023-03-21,17742,0.0
2023-03-22,17742,0.0
2023-03-23,17742,0.0
2023-03-24,17742,0.0
2023-03-25,17742,0.0
2023-03-26,17742,0.0
2023-03-27,17742,0.0
2023-03-28,17742,0.0
2023-03-29,17742,0.0
2023-03-30,17742,0.0
2023-03-31,17742,0.0
2023-04-01,17742,0.0
2023-04-02,17742,0.0
2023-04-03,17742,0.0
2023-04-04,17742,0.0
2023-04-05,17742,0.0
2023-04-06,17742,0.0
2023-04-07,17742,0.0
2023-04-08,17742,0.0
2023-04-09,17742,0.0
2023-04-10,17742,0.0
2023-04-11,17742,0.0
2023-04-12,17742,0.0
2023-04-13,17742,0.0
2023-04-14,17742,0.0
2023-04-15,17742,0.0
2023-04-16,17742,0.0
2023-04-17,17742,0.0
2023-04-18,17742,0.0
2023-04-19,17742,0.0
2023-04-20,17742,0.0
2023-04-21,17742,0.0
2023-04-22,17742,0.0
2023-04-23,17742,0.0
2022-08-16,15068,0.0
2022-08-17,15068,0.0
2022-08-18,15068,0.0
2022-08-19,15068,0.0
2022-08-20,15068,0.0
2022-08-21,15068,0.0
2022-08-22,15068,0.0
2022-08-23,15068,0.0
2022-08-24,15068,0.0
2022-08-25,15068,0.0
2022-08-26,15068,0.0
2022-08-27,15068,0.0
2022-08-28,15068,0.0
2022-08-29,15068,0.0
2022-08-30,15068,0.0
2022-08-31,15068,0.0
2022-09-01,15068,0.0
2022-09-02,15068,0.0
2022-09-03,15068,0.0
2022-09-04,15068,0.0
2022-09-05,15068,0.0
2022-09-06,15068,0.0
2022-09-07,15068,0.0
2022-09-08,15068,0.0
2022-09-09,15068,0.0
2022-09-10,15068,0.0
2022-09-11,15068,0.0
2022-09-12,15068,0.0
2022-09-13,15068,0.0
2022-09-14,15068,0.0
2022-09-15,15068,0.0
2022-09-16,15068,0.0
2022-09-17,15068,0.0
2022-09-18,15068,0.0
2022-09-19,15068,0.0
2022-09-20,15068,0.0
2022-09-21,15068,0.0
2022-09-22,15068,0.0
2022-09-23,15068,0.0
2022-09-24,15068,0.0
2022-09-25,15068,0.0
2022-09-26,15068,0.0
2022-09-27,15068,0.0
2022-09-29,15068,0.0
2022-09-30,15068,0.0
