cycle_id,updated_at,sampled_at,created_at,average_weight,id,remark
18747.0,2022-10-07 03:26:30,2022-09-24,2022-10-07 02:10:49,4.91,32508.0,"Size 204
P/H = 99 kg
P/K = 2.020 kg
Sampling Anco"
18747.0,2022-10-07 03:27:27,2022-10-01,2022-10-07 03:27:27,7.12,32534.0,"Size 140
ADG = 0,31
P/H = 139 kg
P/K = 2.889 kg
Sampling anco"
18747.0,2022-10-08 01:30:56,2022-10-08,2022-10-08 01:30:56,9.75,32575.0,"Size 103
ADG = 0,38
P/H = 160 kg
P/K = 3.946 kg
Sampling anco"
18747.0,2022-10-15 03:24:26,2022-10-15,2022-10-15 03:24:26,11.15,32864.0,"Size 90
ADG 0,23
P/H = 180 kg
P/K = 5.149 kg
Sampling Jala"
27095.0,2023-11-05 09:03:39,2023-10-07,2023-11-05 09:03:39,4.79,52037.0,
27095.0,2023-11-05 09:04:18,2023-10-14,2023-11-05 09:04:18,6.91,52048.0,
27095.0,2023-11-05 09:04:55,2023-10-21,2023-11-05 09:04:55,8.91,52059.0,
27095.0,2023-11-05 09:05:41,2023-10-28,2023-11-05 09:05:41,11.52,52070.0,
27095.0,2023-11-05 09:06:23,2023-11-03,2023-11-05 09:06:23,13.55,52081.0,
27095.0,2023-11-08 06:30:57,2023-11-04,2023-11-08 06:30:57,13.55,52201.0,
27095.0,2023-11-23 01:21:04,2023-11-11,2023-11-23 01:21:04,16.08,53496.0,
27095.0,2023-11-23 01:22:36,2023-11-17,2023-11-23 01:22:36,17.37,53518.0,
27095.0,2023-12-08 10:35:25,2023-12-02,2023-12-08 10:35:25,22.7,54584.0,
27095.0,2023-12-08 10:35:50,2023-11-25,2023-12-08 10:35:50,20.0,54595.0,
27095.0,2023-12-08 10:36:12,2023-11-18,2023-12-08 10:36:12,17.37,54606.0,
23633.0,2023-08-09 09:40:37,2023-08-09,2023-08-09 09:40:37,0.25,45454.0,
23633.0,2023-08-16 09:19:12,2023-08-16,2023-08-16 09:19:12,0.43,45814.0,
23633.0,2023-08-23 10:42:29,2023-08-23,2023-08-23 10:42:29,1.06,46221.0,
23633.0,2023-08-30 08:52:12,2023-08-30,2023-08-30 08:52:12,1.76,46570.0,
23633.0,2023-09-06 07:26:31,2023-09-06,2023-09-06 07:26:31,2.1,47043.0,
23633.0,2023-09-13 08:40:50,2023-09-13,2023-09-13 08:40:50,3.7,47498.0,
23633.0,2023-09-20 08:49:19,2023-09-20,2023-09-20 08:49:19,4.7,48027.0,
23633.0,2023-09-27 13:17:28,2023-09-26,2023-09-27 13:17:28,7.4,48579.0,
23633.0,2023-10-04 08:06:34,2023-10-04,2023-10-04 08:06:34,9.3,49126.0,
23633.0,2023-10-11 06:49:20,2023-10-11,2023-10-11 06:49:20,9.3,49673.0,
23633.0,2023-10-16 09:59:10,2023-09-27,2023-10-16 09:59:10,7.4,50144.0,
23633.0,2023-10-18 06:53:33,2023-10-18,2023-10-18 06:53:33,11.5,50352.0,
23633.0,2023-10-18 07:00:14,2023-10-18,2023-10-18 07:00:14,11.5,50363.0,
23633.0,2023-10-25 06:37:30,2023-10-25,2023-10-25 06:37:30,14.0,51097.0,
23633.0,2023-11-01 06:39:44,2023-11-01,2023-11-01 06:39:44,14.7,51687.0,
23633.0,2023-11-08 07:09:55,2023-11-08,2023-11-08 07:09:55,18.2,52222.0,
23633.0,2023-11-15 07:04:21,2023-11-15,2023-11-15 07:04:21,18.3,52941.0,
23633.0,2023-11-22 06:53:55,2023-11-22,2023-11-22 06:53:55,20.0,53450.0,
23633.0,2023-11-29 07:23:35,2023-11-29,2023-11-29 07:23:35,21.1,53918.0,
23633.0,2023-12-06 06:44:15,2023-12-06,2023-12-06 06:44:15,22.0,54393.0,
23633.0,2023-12-06 07:01:55,2023-12-06,2023-12-06 07:01:55,22.0,54398.0,
25920.0,2023-10-18 07:00:14,2023-10-18,2023-10-18 07:00:14,1.27,50372.0,
25920.0,2023-10-25 06:24:56,2023-10-25,2023-10-25 06:24:56,2.15,51075.0,
25920.0,2023-11-01 07:24:52,2023-11-01,2023-11-01 07:24:52,3.52,51706.0,
25920.0,2023-11-08 07:19:12,2023-11-08,2023-11-08 07:19:12,3.3,52231.0,
25920.0,2023-11-15 06:45:23,2023-11-15,2023-11-15 06:45:23,5.67,52911.0,
25920.0,2023-11-22 07:05:44,2023-11-22,2023-11-22 07:05:44,5.94,53462.0,
25920.0,2023-11-29 07:02:13,2023-11-29,2023-11-29 07:02:13,6.9,53908.0,
25920.0,2023-12-06 06:06:30,2023-12-06,2023-12-06 06:06:30,10.5,54384.0,
25920.0,2023-12-13 06:50:12,2023-12-13,2023-12-13 06:50:12,11.3,54901.0,
25920.0,2023-12-20 06:25:02,2023-12-20,2023-12-20 06:25:02,12.3,55337.0,
25920.0,2023-12-27 05:59:14,2023-12-27,2023-12-27 05:59:14,14.4,55847.0,
25920.0,2024-01-03 06:37:46,2024-01-03,2024-01-03 06:37:46,15.0,56188.0,
25920.0,2024-01-10 06:42:40,2024-01-10,2024-01-10 06:42:40,16.0,56517.0,
25920.0,2024-01-17 06:45:44,2024-01-17,2024-01-17 06:45:44,17.4,56986.0,
25920.0,2024-01-24 06:44:30,2024-01-24,2024-01-24 06:44:30,17.1,57387.0,
25920.0,2024-01-31 06:28:00,2024-01-31,2024-01-31 06:28:00,19.4,57883.0,
25920.0,2024-02-07 07:35:17,2024-02-07,2024-02-07 07:35:17,20.2,58725.0,
25920.0,2024-02-14 06:38:06,2024-02-14,2024-02-14 06:38:06,22.41,59143.0,
25920.0,2024-02-21 05:55:08,2024-02-21,2024-02-21 05:55:08,21.58,59560.0,
27904.0,2024-03-05 22:44:59,2024-02-28,2024-03-05 22:44:59,5.0,60263.0,
27650.0,2023-12-07 01:14:12,2023-12-07,2023-12-07 01:14:12,2.5,54458.0,
27650.0,2023-12-14 00:30:29,2023-12-14,2023-12-14 00:30:29,3.3,54947.0,
27650.0,2023-12-22 00:52:24,2023-12-22,2023-12-22 00:52:24,3.3,55540.0,
27650.0,2023-12-25 10:05:36,2023-12-25,2023-12-25 10:05:36,3.47,55679.0,
27650.0,2024-01-08 14:21:16,2024-01-01,2024-01-01 08:38:59,3.7,56071.0,
27650.0,2024-01-22 10:35:46,2024-01-15,2024-01-22 10:35:46,4.8,57211.0,
27650.0,2024-01-22 10:42:49,2024-01-22,2024-01-22 10:42:49,6.3,57212.0,
27650.0,2024-02-02 01:33:17,2024-01-30,2024-02-02 01:32:00,6.9,58030.0,
22068.0,2023-06-09 01:23:53,2023-06-09,2023-06-09 01:23:53,8.1,42874.0,
