cycle_id,updated_at,size,created_at,weight,id,harvested_at,status,selling_price
15013.0,2022-07-18 08:42:59,399.86,2022-07-18 08:42:59,0.01,11960.0,2022-04-17,Failed,
11848.0,2021-10-25 23:29:53,300.0,2021-10-24 08:38:53,46.0,7520.0,2021-10-22,Full,1610000.0
11848.0,2021-10-25 23:29:35,300.0,2021-10-25 23:29:35,10.0,7546.0,2021-10-21,Partial,350000.0
4666.0,2020-10-08 02:07:18,110.0,2020-10-08 02:07:18,270.5,3009.0,2020-08-31,Failed,
4666.0,2020-10-08 02:07:37,190.0,2020-10-08 02:07:37,270.5,3010.0,2020-08-31,Failed,
18747.0,2022-10-20 01:06:50,72.3,2022-10-20 01:06:50,5322.28,13876.0,2022-10-19,Full,5322.28
27095.0,2024-02-19 02:10:48,41.5,2023-12-27 12:00:59,7843.0,25322.0,2023-12-12,Full,492540400.0
27095.0,2024-02-19 02:08:11,67.5,2024-02-12 05:06:57,1244.5,26728.0,2023-11-08,Partial,76536750.0
27095.0,2024-02-19 02:08:08,176.0,2024-02-12 05:06:57,5.0,26729.0,2023-11-08,Partial,135000.0
27095.0,2024-02-19 02:08:07,67.5,2024-02-12 05:06:58,2.0,26735.0,2023-11-08,Partial,92250.0
27095.0,2024-02-19 02:10:48,150.0,2024-02-19 02:10:48,119.0,27046.0,2023-12-12,,3570000.0
27095.0,2024-02-19 02:10:48,41.5,2024-02-19 02:10:48,169.0,27047.0,2023-12-12,,7429240.0
23633.0,2023-12-20 06:31:58,20.7,2023-12-09 10:44:34,4576.0,24888.0,2023-12-09,Full,
25920.0,2024-02-28 09:34:16,22.8,2024-02-28 09:34:16,1624.0,27340.0,2024-02-26,Full,
27904.0,2024-03-06 06:15:31,200.0,2024-03-05 22:44:46,70.0,27487.0,2024-02-28,Full,2800000.0
27650.0,2024-02-12 04:45:12,135.0,2024-02-12 04:45:12,308.5,26713.0,2024-02-07,Full,12957000.0
22068.0,2023-06-15 05:24:16,130.0,2023-06-13 02:59:46,250.0,18537.0,2023-06-12,Full,12500000.0
25613.0,2023-11-14 06:48:28,280.0,2023-11-14 06:48:28,230.0,23748.0,2023-11-10,Full,8970000.0
16343.0,2022-08-16 08:29:44,89.23,2022-08-16 08:29:44,424.9,12532.0,2022-07-20,Partial,
16343.0,2022-08-16 08:30:39,79.81,2022-08-16 08:30:39,1869.18,12533.0,2022-08-03,Full,
24946.0,2023-09-29 09:27:35,200.0,2023-09-29 09:27:35,70.0,21779.0,2023-09-29,Partial,3150000.0
24946.0,2023-10-08 23:46:46,170.0,2023-10-08 23:46:46,77.0,22152.0,2023-10-09,Partial,3850000.0
